 Commenter , Information Requested , Type of Information Needed 
 Not specified , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific and medical information 
 Not specified , Updates to all vaccine types to match perpetually emerging variants , Scientific and medical information 
 Not specified , Ensuring access to all vaccine options made by all manufacturers , Access-related information 
 Not specified ," Support for vaccine options beyond injections, such as liquids, pills, or nasal sprays ", Scientific and medical information 
 Not specified , Recommendations that anticipate the next dominant strain in the next six months , Scientific and medical information 
 Not specified ," Equitable and affordable access to updated vaccines, addressing access limitations due to financial and demographic constraints ", Financial and access-related information 
 Not specified , Accountability from FDA Commissioner Dr. Marty Makary to base decisions on long-term public welfare outcomes , Transparency and accountability-related information 
 --- , --- , --- 
" Daniel L Hertz, D Max Smith, Stuart A Scott, Jai N Patel, J Kevin Hicks ", Recommendation for DPYD testing prior to Fluoropyrimidine chemotherapy , Clinical practice guideline update 
" Daniel L Hertz, D Max Smith, Stuart A Scott, Jai N Patel, J Kevin Hicks ", Inclusion of a boxed warning for DPYD testing in FP drug labels , Regulatory update 
" Daniel L Hertz, D Max Smith, Stuart A Scott, Jai N Patel, J Kevin Hicks ", Recommendation for FP dose reduction in patients carrying deleterious germline variants , Clinical treatment protocol update 
" Daniel L Hertz, D Max Smith, Stuart A Scott, Jai N Patel, J Kevin Hicks ", Evidence-based assessment of the DPYD-FP pharmacogenetic association , Scientific data review 
 --- , --- , --- 
 Smoldering Myeloma Patient ," Clear definition of ""high risk"" for smoldering myeloma patients ", Clarity on patient selection criteria 
 Smoldering Myeloma Patient , Additional follow-up time to assess long-term safety of Darzalex Faspro , Long-term safety data 
 Smoldering Myeloma Patient ," Strong and clear indications and warnings for Darzalex Faspro, if approved ", Regulatory guidance 
 Smoldering Myeloma Patient , Education and guidance for non-myeloma specialists on treating smoldering myeloma patients , Educational resources for healthcare professionals 
 Smoldering Myeloma Patient , Consideration of psychological component of smoldering myeloma and potential for anxiety-driven treatment , Patient-centered care considerations 
 --- , --- , --- 
 Jena Grosser ," Prioritization of safety, efficacy, and broad accessibility for all populations in the selection of the 2025-2026 COVID-19 vaccine formula ", General guidance and recommendations 
 Jena Grosser , Comprehensive clinical data and robust post-market surveillance plans for all age groups , Scientific evidence and data 
 Jena Grosser , Selection of a formula that offers broad and durable protection against currently circulating and potentially emerging SARS-CoV-2 variants , Scientific evidence and data 
 Jena Grosser , Recommendations that support broad access to vaccination for all age groups with a favorable benefit-risk profile , Guidance and policy 
 Jena Grosser ," Clear, science-based public communication and education on the benefits and risks of COVID-19 vaccination ", Public health communication and education 
 Jena Grosser , Transparency in the decision-making process and clear communication of the scientific basis for formula selection and age-group recommendations , Transparency and accountability 
 Jena Grosser ," Evaluation of safety and efficacy data for all intended age groups and populations, including those with underlying health conditions ", Scientific evidence and data 
 --- , --- , --- 
 Stephanie Seneff and Greg Nigh , Long-term safety and efficacy data for mRNA vaccines ," Quantitative and qualitative data on the potential risks and benefits of mRNA vaccines, including blood disorders, neurodegenerative diseases, and autoimmune diseases "
 Stephanie Seneff and Greg Nigh ," Clarification on the potential for spike protein ""shedding"" and transmission ", Scientific evidence and studies supporting or refuting the possibility of spike protein shedding and transmission from vaccinated to unvaccinated individuals 
 Stephanie Seneff and Greg Nigh , Information on the potential for mRNA vaccines to modify DNA ," Scientific evidence and studies on the possibility of mRNA vaccines modifying human DNA, including the potential for germ cell DNA modification and transgenerational transmission "
 Stephanie Seneff and Greg Nigh , Access to unbiased reporting of outcomes and epidemiological data ," Free access to unbiased and unensored data on vaccine outcomes, including adverse reactions, efficacy, and safety concerns "
 Stephanie Seneff and Greg Nigh , Answers to critical questions related to vaccine development , Clear answers to questions such as: Will vaccines stimulate the immune response? Will vaccines provide sustainable immune endurance? How will SARS-CoV-2 mutate? Are we prepared for vaccine backfires? 
 --- , --- , --- 
 Unknown (likely a public health organization) ," Data on COVID-19 epidemic trends, including R values and uncertainty intervals ", Quantitative data and statistical analysis 
 --- , --- , --- 
 Lawyers representing families suing AstraZeneca , Causal link between AstraZeneca's Covid vaccine and rare side effect (TTS) ," Scientific evidence, expert testimony "
 Jamie Scott's lawyers , Admission of liability from AstraZeneca for vaccine-induced immune thrombosis with thrombocytopenia (VITT) ," Legal documents, court records "
 Government (via Vaccine Damage Payment Scheme) , Evidence of vaccine-related injuries or deaths to determine compensation ," Medical records, death certificates, expert testimony "
 MHRA (Medicines and Healthcare products Regulatory Agency) , Data on suspected deaths linked to AstraZeneca's Covid vaccine ," Official statistics, adverse event reports "
 AstraZeneca ," Clinical trial data, real-world evidence to support vaccine safety and efficacy "," Scientific studies, regulatory approvals "
 World Health Organisation , Data on vaccine safety and efficacy to inform global health policies ," Scientific research, epidemiological studies "
 --- , --- , --- 
 Vernon Coleman , Data on vaccine-related deaths and injuries ," Quantitative data, case reports, and adverse event reports "
 Vernon Coleman , Investigation into vaccine safety and efficacy ," Regulatory action, scientific research, and government oversight "
 Vernon Coleman , Transparency and accountability from mainstream media and government ," Journalism, public disclosure, and freedom of information "
 Vernon Coleman ," Autopsy reports, death certificates, and medical records of vaccine-related deaths "," Medical records, forensic analysis, and epidemiological data "
 Vernon Coleman , Comparison of vaccine-related deaths to COVID-19 deaths ," Epidemiological data, statistical analysis, and public health metrics "
 Vernon Coleman , Causality assessment of vaccine-related deaths and injuries ," Scientific research, clinical trials, and pharmacovigilance "
 Vernon Coleman , Government and regulatory response to vaccine-related adverse events ," Regulatory action, public policy, and government accountability "
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before FDA committee meetings , Procedural 
 Not specified (public commenter) , Universal access to updated COVID vaccines for individuals of all ages , Policy 
 Not specified (public commenter) , Full coverage of COVID vaccines by public funds or insurance at regular intervals (at least every six months) , Financial/Payment 
 Not specified (public commenter) , Vaccine schedule that addresses waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/Technical 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified (public commenter) , Access to all vaccine options from all three manufacturers , Supply Chain/Access 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Scientific/Technical 
 Not specified (public commenter) , Recommendations that anticipate the next dominant strain and ensure manufacturer matching , Scientific/Technical 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy/Social 
 Not specified (public commenter) , Revival of programs like the CDC Bridge Program to ensure no-cost access to vaccines , Policy/Programmatic 
 Not specified (public commenter) , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial analyses , Administrative/Accountability 
 --- , --- , --- 
 Hypothetical Commenter , Clarification on the difference between live-attenuated and non-live vaccines , Scientific/Technical 
 Hypothetical Commenter , Data on the effectiveness of COVID-19 vaccines in preventing severe illness , Statistical/Epidemiological 
 Hypothetical Commenter , Guidance on vaccination schedules for adults with weakened immune systems , Regulatory/Recommendations 
 --- , --- , --- 
 Not specified (public commenter) , Extension of public comment period to at least 4 weeks , Procedural 
 Not specified (public commenter) , Universal access to updated COVID vaccines for all ages , Policy-related 
 Not specified (public commenter) , Full coverage of COVID vaccines by public funds or insurance at regular intervals (every 6 months) , Financial/Payment 
 Not specified (public commenter) , Vaccine schedule addressing waning efficacy and new SARS-CoV-2 strains , Scientific/Technical 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified (public commenter) , Access to all vaccine options from all manufacturers , Access/Availability 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Product Development 
 Not specified (public commenter) , Recommendations anticipating future dominant strains , Predictive/Proactive 
 Not specified (public commenter) , Addressing access limitations due to financial and demographic constraints , Social Determinants/Health Equity 
 Not specified (public commenter) , Revival of programs like the CDC bridge program for no-cost vaccine access , Programmatic 
 Not specified (public commenter) , Accountability from FDA commissioner to prioritize public welfare over short-term financial analyses , Accountability/Transparency 
 --- , --- , --- 
 Stephanie Black , Ensure a four-week public comment period before the upcoming committee meeting , Procedural/Regulatory 
 Stephanie Black , Universal access to updated COVID vaccines for individuals of all ages , Policy/Recommendation 
 Stephanie Black , Vaccines to be fully covered by public funds/insurance at a regular interval of at least every six months , Financial/Coverage 
 Stephanie Black , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/Efficacy 
 Stephanie Black , Updates to all vaccine types to better match emerging variants , Scientific/Effectiveness 
 Stephanie Black , Ensuring access to all vaccine options made by all manufacturers , Access/Availability 
 Stephanie Black , Support for vaccine options in addition to injection , Product Development/Innovation 
 Stephanie Black , Recommendations to anticipate the next dominant strain in the next six months , Scientific/Forecasting 
 Stephanie Black , Ensuring manufacturers match the variant with future variants , Scientific/Effectiveness 
 Stephanie Black ," Equitable and affordable access to updated vaccines, addressing access limitations due to financial and demographic constraints ", Policy/Accessibility 
 Stephanie Black , Revival of programs like the CDC bridge program to ensure no-cost access to vaccines , Policy/Program Development 
 --- , --- , --- 
 Duncan Buckley (UK) , Immediate recall of COVID-19 modRNA injection platform , Regulatory action to address safety concerns 
,,
,,
,,
,,
,,
,,
 --- , --- , --- 
" Courtney Gallo Hunter, VP, Public Policy & Advocacy, Crisis Text Line "," Data on the need for greater mental health treatment options for PTSD and trauma, particularly among young people and frontline workers "," Anecdotal evidence, statistical data, and expert perspective on the need for increased access to mental health treatment options "
 --- , --- , --- 
 Biocom California , Enhanced consistency in review practices across FDA divisions , Regulatory process improvement 
 Biocom California , High-quality written responses with the option for a follow-up meeting , Regulatory process improvement 
 Biocom California , Establishment of milestones and performance goals for substantive labeling comments ," Regulatory process improvement, specific timeline "
 Biocom California , Increased transparency and communication for inspections ," Regulatory process improvement, earlier inspection discussions "
 Biocom California , Framework for the utilization and acceptance of primary disease biomarkers as endpoints ," Regulatory guidance, specific criteria for qualification "
 --- , --- , --- 
" Harlan M. Krumholz, MD, SM ", More research and investigation into post-vaccination syndrome (PVS) after Covid-19 vaccination ," Qualitative and quantitative data on symptoms, treatments, and health status of individuals with PVS "
" Harlan M. Krumholz, MD, SM "," Characterization of PVS, including symptoms, diagnoses, treatments, and experiences "," Descriptive analysis of PVS cases, including demographic information, health status, and prior SARS-CoV-2 infection and vaccinations "
" Harlan M. Krumholz, MD, SM ", Development of diagnostic tests and evidence-based interventions for PVS ," Clinical and scientific data on the causes and mechanisms of PVS, as well as effective treatments and prevention strategies "
 --- , --- , --- 
" Mary Backley, Chief Executive Officer, Maryland Dental Action Coalition "," Data on the safety and effectiveness of fluoride supplements in the pediatric population, particularly in areas without access to community water fluoridation "," Scientific evidence, public health data, and research findings "
" Mary Backley, Chief Executive Officer, Maryland Dental Action Coalition "," Information on the potential consequences of eliminating fluoride supplements, including the impact on oral health disparities and access to care for low-income children "," Policy analysis, public health impact assessment, and socioeconomic data "
" Mary Backley, Chief Executive Officer, Maryland Dental Action Coalition ", Evidence on the benefits of community water fluoridation and the percentage of the US population with access to fluoridated water ," Public health data, epidemiological research, and environmental health information "
" Mary Backley, Chief Executive Officer, Maryland Dental Action Coalition "," Data on the prevalence of dental caries among children, particularly in Maryland, and the impact of oral health issues on school attendance and academic performance "," Epidemiological research, public health surveillance, and educational outcomes data "
 --- , --- , --- 
 Critical Path Institute , Guidance on using common data models (CDM) like OMOP for submitting real-world data (RWD) , Regulatory guidance on data standards for RWD submissions 
 Critical Path Institute ," Development of processes and guidance documents for submitting RWD, leveraging existing RWD standards like OMOP and FHIR ", Regulatory guidance on data submission processes 
 Critical Path Institute , Clear methodological framework for evaluating bias in RWD , Methodological framework for data quality and bias evaluation 
 Critical Path Institute , Support for industry partnerships to drive FHIR implementation and adoption , Industry partnership and collaboration opportunities 
 Critical Path Institute , Update to guidance on data standards for drug and biological product submissions containing RWD , Regulatory guidance on data standards for RWD submissions 
 Critical Path Institute , Guidance on acceptable FHIR Implementation Guides for submission , Technical guidance on FHIR implementation 
 Critical Path Institute ," Incentives and support for public-private partnerships to explore, develop, and validate concept mapping from RWD to controlled terminologies ", Public-private partnership opportunities and funding 
 Critical Path Institute , Assessment of USCDI version 3's sufficiency for collecting RWD for research purposes , Evaluation of data standard's adequacy for research purposes 
 Critical Path Institute , Identification of gaps in USCDI version 3 and recommendations for addressing them , Identification of data standard gaps and recommendations for improvement 
 --- , --- , --- 
 David J. Speicher et al. , Quantification of residual plasmid DNA and SV40 promoter-enhancer sequences in Pfizer/BioNTech and Moderna modRNA COVID-19 vaccines , Scientific data on residual DNA in COVID-19 vaccines 
 David J. Speicher et al. , Regulatory limits for residual DNA set by the US Food & Drug Administration (FDA) and the World Health Organization (WHO) , Regulatory guidelines on residual DNA in vaccines 
 David J. Speicher et al. ," Information on the manufacturing process of Pfizer and Moderna COVID-19 vaccines, including the use of PCR-based methods and PCR-free purification processes ", Manufacturing process details for COVID-19 vaccines 
 David J. Speicher et al. , Data on the presence of SV40 promoter-enhancer elements in Pfizer vaccine vials and the potential safety concerns associated with them , Safety data on residual DNA in COVID-19 vaccines 
 David J. Speicher et al. , Information on the size distribution of DNA fragments in COVID-19 vaccine vials and the DNase I sensitivity of the vaccine , Scientific data on DNA fragment size and DNase I sensitivity in COVID-19 vaccines 
 --- , --- , --- 
 A concerned citizen ," Maintain access to all updated vaccine options from all major manufacturers for everyone, regardless of age or health condition ", Policy/Regulatory Change 
 A concerned citizen , Exemption from requiring placebo-controlled trials for healthy young adults for new variant vaccines , Regulatory Exception 
 A concerned citizen ," Transparency and adherence to the established, science-based regulatory system in public health decisions ", Regulatory Process Information 
 A concerned citizen ," Data on the effectiveness of predictive modeling in staying ahead of COVID-19 variants, similar to the flu vaccine model ", Scientific/Technical Information 
 A concerned citizen , Rejection of proposals that bypass expert panels and politicize public health decisions , Policy/Regulatory Rejection 
 --- , --- , --- 
 Unknown (no name provided) , Universal access to updated COVID vaccines , Policy/Guidance 
 Unknown (no name provided) , Vaccines recommended for individuals of all ages , Policy/Guidance 
 Unknown (no name provided) , Full coverage of COVID vaccines by public funds/insurance at regular intervals (every 6 months) , Policy/Guidance 
 Unknown (no name provided) , Vaccine schedules that reflect real-world waning efficacy and emerging new strains , Scientific/Data-Driven 
 Unknown (no name provided) , Updates to all vaccine types to match emerging variants , Scientific/Data-Driven 
 Unknown (no name provided) , Access to all vaccine options made by all manufacturers , Policy/Guidance 
 Unknown (no name provided) ," Support for alternative vaccine delivery methods (e.g. liquids, pills, nasal sprays) ", Scientific/Innovative 
 Unknown (no name provided) , Recommendations that anticipate the next dominant strain in the next 6 months , Scientific/Data-Driven 
 Unknown (no name provided) , Funding for research on future variants and a universal COVID vaccine , Resource Allocation 
 Unknown (no name provided) , Ensuring manufacturers match vaccines with future variants , Regulatory Oversight 
 --- , --- , --- 
 Not specified , Extended public comment period (4 weeks) before FDA VRBPAC meeting , Procedural 
 Not specified , Universal access to updated COVID vaccines for all ages , Policy 
 Not specified , Full coverage of COVID vaccines by public funds or insurance at regular intervals (every 6 months) , Financial/Payment 
 Not specified , Updates to vaccine schedules to address waning efficacy and emerging variants , Scientific/Technical 
 Not specified , Access to all vaccine options from all three manufacturers , Product Availability 
 Not specified ," Support for alternative vaccine delivery methods (liquids, pills, nasal sprays) ", Product Development 
 Not specified , Recommendations for vaccine access that do not create barriers for vulnerable populations , Policy 
 Not specified , Anticipation of future dominant strains and matching vaccine development , Scientific/Technical 
 Not specified ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Access/Equity 
 Not specified , Revival of programs like the CDC Bridge Program to ensure no-cost access to vaccines , Policy 
 Not specified , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial analyses , Administrative/Accountability 
 --- , --- , --- 
 John Barkhausen , Full plasmid DNA backbone sequences used by Pfizer and Moderna , Scientific/Technical Data 
 John Barkhausen ," Safety studies on plasmid integration, carcinogenicity, and reproductive toxicity ", Scientific/Technical Data 
 John Barkhausen , Evidence of FDA safety reviews on plasmid material , Regulatory/Compliance Data 
 John Barkhausen ," Data on vaccine efficacy, including infection and transmission rates ", Scientific/Technical Data 
 John Barkhausen ," Data on vaccine safety, including rates of vaccine-related injury ", Scientific/Technical Data 
 John Barkhausen ," Information on long-term effects of COVID-19 vaccines, including persistence of spike protein ", Scientific/Technical Data 
 John Barkhausen , Disclosure of SV40 promoter/enhancer sequences and other potential contaminants , Scientific/Technical Data 
 John Barkhausen , Investigation into informed consent failures regarding plasmid DNA and SV40 disclosure , Regulatory/Compliance Data 
 --- , --- , --- 
 LaCAR MDx Technologies SA , Regulatory clarity on which DPYD variants should be targeted in an authorized test , Guidance/Regulatory Clarity 
 LaCAR MDx Technologies SA , Performance benchmarks for DPYD genotyping assays , Technical/Scientific Information 
 LaCAR MDx Technologies SA , Clinical validation requirements for DPYD genotyping assays , Technical/Scientific Information 
 LaCAR MDx Technologies SA , Recommended variant coverage for DPYD genotyping assays , Technical/Scientific Information 
 LaCAR MDx Technologies SA , Prioritization of regulatory clarity to facilitate standardized testing and safe use of fluoropyrimidines , Policy/Regulatory Recommendation 
 --- , --- , --- 
 Council of State and Territorial Epidemiologists (CSTE) , Continue to make COVID-19 vaccines widely available and easily accessible in the United States , Policy Recommendation 
 CSTE , Ensure COVID-19 vaccines are covered by health insurance and made accessible and affordable to those who are uninsured , Policy Recommendation 
 CSTE , Use evidence-based decision-making in the selection of the 2025-2026 Formula for COVID-19 vaccines , Procedural Guidance 
 CSTE ," Adhere to the established vaccine approval and recommendation process involving the FDA, CDC, and their advisory committees (VRBPAC and ACIP) ", Procedural Guidance 
 --- , --- , --- 
 Not specified , Ensure a four-week public comment period before committee meetings , Procedural change 
 Not specified , Universal access to updated COVID vaccines for all ages , Policy recommendation 
 Not specified , Vaccines to be fully covered by public funds or insurance at least every six months , Financial and access policy 
 Not specified , Vaccine schedule to address waning efficacy and emergence of new strains , Scientific and medical guidance 
 Not specified , Updates to all vaccine types to match emerging variants , Product development and approval 
 Not specified , Access to all vaccine options from all three manufacturers , Access and availability 
 Not specified ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Product development and approval 
 Not specified , Recommendations that anticipate the next dominant strain in the next six months , Scientific and medical forecasting 
 Not specified ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Access and policy recommendation 
 Not specified , Revival of programs like the CDC Bridge Program for no-cost access to vaccines , Policy recommendation and access 
 Not specified , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial or economic analyses , Transparency and accountability 
 --- , --- , --- 
 Thomas Bognanno , 1. Real hope for more time and quality of life offered by the therapy , Patient-centered outcome data 
 Thomas Bognanno , 2. Tolerability of side effects without loss of sense of self ," Patient-reported outcome data, quality of life data "
 Thomas Bognanno , 3. Accessibility of the therapy to those who need it most ," Equity and access data, healthcare disparities information "
 Thomas Bognanno , Consideration of the lived experience of patients ," Patient narrative, personal story, and perspective "
 Thomas Bognanno , Addressing the equity gap in prostate cancer outcomes for Black men ," Demographic data, health disparities research, and access to care information "
 --- , --- , --- 
 Clinical Pharmacist Specialist in Infectious Diseases , Ensure a four-week public comment period before committee meetings , Procedural 
,,
,,
,,
,,
,,
,,
,,
,,
 --- , --- , --- 
" Sony Tuteja, PharmD, MS, BCPS, FCCP (PGRN) ", Challenges healthcare providers and patients encounter with current DPD testing recommendations , Qualitative data on current barriers to DPD testing implementation 
" Sony Tuteja, PharmD, MS, BCPS, FCCP (PGRN) ", Factors considered by healthcare providers when deciding whether to test patients for DPD deficiency ," Clinical decision-making criteria, treatment protocols, and patient-related factors "
" Sony Tuteja, PharmD, MS, BCPS, FCCP (PGRN) ", Factors considered by healthcare providers when deciding to use fluorouracil or capecitabine in patients with complete DPD deficiency ," Clinical guidelines, treatment alternatives, and patient counseling "
" Sony Tuteja, PharmD, MS, BCPS, FCCP (PGRN) ", Factors considered for determining dosing and monitoring approaches in patients with partial DPD deficiency ," Clinical protocols, dosing strategies, and monitoring guidelines "
" Sony Tuteja, PharmD, MS, BCPS, FCCP (PGRN) ", Updates to CPIC guidelines and dosing strategies for patients with DPD deficiency ," Quantitative data on treatment efficacy, toxicity, and cost-effectiveness "
" Sony Tuteja, PharmD, MS, BCPS, FCCP (PGRN) ", Real-world outcomes data on DPD testing and treatment outcomes ," Observational studies, retrospective analyses, and pooled data from multiple sites "
 --- , --- , --- 
 A Concerned Citizen , Prioritize safety in the 2025-2026 COVID-19 vaccine formula , General guidance on safety standards 
 A Concerned Citizen , Ensure safety and efficacy data for all age groups , Clinical trial data and post-market surveillance information 
 A Concerned Citizen , Select a formula with broad and durable protection against SARS-CoV-2 variants , Scientific evidence on vaccine efficacy 
 A Concerned Citizen , Support broad access to vaccination based on peer-reviewed scientific evidence , Review of existing scientific literature and data 
 A Concerned Citizen ," Clear, science-based public communication on COVID-19 vaccines ", Transparency in public health guidance and communication 
 A Concerned Citizen , Transparency in the decision-making process for formula selection and age-group recommendations , Explanation of the scientific basis for recommendations 
 --- , --- , --- 
 Unspecified , Ensure a four-week public comment period before an upcoming committee meeting , Procedural requirement for public feedback 
 Unspecified , Universal access to updated COVID vaccines for individuals of all ages , Policy recommendation for vaccine access 
 Unspecified , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Financial and logistical support for vaccine access 
 Unspecified , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific evidence and vaccine development strategy 
 Unspecified ," Updates to all vaccine types, including options from all three manufacturers ", Vaccine development and manufacturing requirement 
 Unspecified ," Support for vaccine options beyond injections, such as liquids, pills, or nasal sprays ", Alternative vaccine delivery methods 
 Unspecified , Recommendations that anticipate the next dominant strain in the next six months , Predictive analytics and vaccine development strategy 
 Unspecified ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Social and economic support for vaccine access 
 Unspecified , Revival of programs like the CDC bridge program to ensure no-cost access to vaccines , Programmatic support for vaccine access 
 Unspecified ," Accountability from Dr. Marty Makary, commissioner of the FDA, to prioritize public welfare over short-term financial or economic analyses ", Administrative and decision-making process transparency 
 --- , --- , --- 
 Lee Crawford , Data on the efficacy of COVID-19 vaccines and the need for routine booster recommendations , Scientific/Research-based data 
 Lee Crawford , Information on the impact of restrictive policies on high-risk groups and those facing financial barriers , Demographic/Socioeconomic data 
 Lee Crawford ," Details on alternative delivery methods for COVID-19 vaccines, such as oral or nasal formulations ", Technical/Manufacturing data 
 Lee Crawford , Information on the expiration of programs like the CDC Bridge Access Program and its impact on vaccine access , Programmatic/Policy data 
 Lee Crawford , Recommendations for the FDA to mandate updated vaccines to match emerging variants , Regulatory/Policy guidance 
 Lee Crawford , Recommendations for the FDA to recommend boosters for all age groups at regular intervals , Clinical Practice guidelines 
 Lee Crawford , Information on ensuring public and private payers cover the full cost of COVID-19 vaccines , Financial/Coverage data 
 Lee Crawford , Recommendations for the FDA to restore or replace public programs that offer no-cost access to COVID-19 vaccines , Programmatic/Policy guidance 
 --- , --- , --- 
 Not specified , Parameters to measure the impact of new information on previous chemical assessments , Quantitative criteria or metrics 
 Not specified ," Data on severe health effects of chemicals (e.g., cancer, cardiovascular toxicity) ", Scientific research or laboratory testing data 
 Not specified , Information on dietary exposure trends to chemicals over time , Epidemiological or monitoring data 
 Not specified ," Data on the presence of chemicals in food intended for vulnerable subpopulations (e.g., infants) ", Food sampling or testing data 
 Not specified ," Information on public attention and stakeholder activity related to chemicals (e.g., Congressional coverage, media attention) ", Public opinion or media analysis data 
 Not specified , Information on actions taken by other governmental agencies on chemicals , Regulatory or policy data 
 Not specified , Assessment of the potential impact of not assessing a chemical on public confidence in food safety , Risk assessment or perception analysis data 
 --- , --- , --- 
,,
,,
,,
,,
 --- , --- , --- 
 Cyem Qatar (individual) ," Data on the impact of pesticides on women's health, particularly breast cancer and reproductive health ", Scientific/Research-based information 
 Cyem Qatar (individual) ," Information on the regulation of toxic chemicals and pesticides under various laws (Food Quality Protection Act, Federal Food, Drug, and Cosmetic Act, Federal Insecticide, Fungicide, and Rodenticide Act, and Safe Drinking Water Act) ", Regulatory/Legal information 
 Cyem Qatar (individual) , Support for eliminating pesticides that endanger women's health and promotion of organic agriculture , Policy/Advocacy support 
 Cyem Qatar (individual) ," Investment in organic farming projects, specifically the Sharada Trust's Organic Sample Farm ", Financial/Investment information 
 Cyem Qatar (individual) , Review of attached files and policies related to Viksit Bharat 2047 and Naari Shakti , Review of attached documents and policies 
 --- , --- , --- 
 Biomedical Engineer and MD/MPH Candidate , Tiered fee-waiver or reduction program for small generic manufacturers , Policy Change 
 Biomedical Engineer and MD/MPH Candidate , Expedited review pathway or fee reduction incentive for ANDAs that aim to reintroduce generic competition in shortage categories , Regulatory Guidance 
 Biomedical Engineer and MD/MPH Candidate , Increased funding for model-informed drug development (MIDD) and bioequivalence simulation tools for complex generics , Budget Allocation 
 Biomedical Engineer and MD/MPH Candidate ," Strengthened foreign inspection capacity, enhanced remote auditing technology, and support for international regulatory harmonization ", Regulatory Enhancement 
 Biomedical Engineer and MD/MPH Candidate , Public Health Impact Adjustment (PHIA) model to assess societal value of generic drugs and adjust review fees accordingly , New Regulatory Framework 
 Biomedical Engineer and MD/MPH Candidate , Data on the effectiveness of GDUFA III in addressing drug shortages and improving access to affordable medications , Performance Metrics 
 Biomedical Engineer and MD/MPH Candidate ," Information on FDA's plans to address manufacturing and quality problems, supply chain disruptions, and manufacturer withdrawals that contribute to drug shortages ", Regulatory Strategy 
 Biomedical Engineer and MD/MPH Candidate , Details on how GDUFA IV will prioritize review or incentivize development of ANDAs for shortage drugs , Regulatory Guidance 
 --- , --- , --- 
" David E. Hayes-Bautista, Ph.D., Paul Hsu, M.P.H., Ph.D. "," Data on COVID-19 death patterns in California, specifically on racial/ethnic disparities in death rates, and information on essential workers, access to healthcare, and comorbidities. "," Epidemiological data, demographic data, and information on healthcare access and social determinants of health. "
 --- , --- , --- 
 Not specified , Ensure a four-week public comment period before the upcoming committee meeting ," Procedural information, timeframe for public comment "
 Not specified , Universal access to updated COVID vaccines for individuals of all ages ," Policy recommendation, vaccine accessibility "
 Not specified , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months ," Financial and reimbursement information, vaccine coverage "
 Not specified , Vaccine schedule addressing waning efficacy and emergence of new SARS-CoV-2 strains ," Scientific and medical information, vaccine effectiveness "
 Not specified ," Updates to all vaccine types, including new and emerging variants "," Scientific and medical information, vaccine development "
 Not specified ," Ensuring access to all vaccine options, including alternative delivery methods (e.g., liquids, pills, nasal sprays) "," Scientific and medical information, vaccine development and accessibility "
 Not specified , Recommendations that anticipate the next dominant strain in the next six months ," Scientific and medical information, vaccine development and forecasting "
 Not specified ," Equitable and affordable access to updated vaccines, addressing access limitations due to financial and demographic constraints "," Policy recommendation, vaccine accessibility and affordability "
,,
,,
 --- , --- , --- 
 Alys Brooks ," Economic data on the value of COVID-19 vaccines, specifically the cost savings per individual and societal benefits "," Quantitative data, references to existing literature on vaccine efficacy and economic benefits "
 --- , --- , --- 
" John F. Cavallaro, PhD ", Ensure a four-week public comment period before FDA committee meetings , Procedural 
" John F. Cavallaro, PhD ", Universal access to updated COVID vaccines for individuals of all ages , Policy 
" John F. Cavallaro, PhD ", Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Financial/Payment 
" John F. Cavallaro, PhD ", Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/Technical 
" John F. Cavallaro, PhD ", Updates to all vaccine types to better match emerging variants , Scientific/Technical 
" John F. Cavallaro, PhD ", Access to all vaccine options made by all three manufacturers , Product/Availability 
" John F. Cavallaro, PhD "," Support for vaccine options in addition to injection (e.g., liquids, pills, or nasal sprays) ", Product/Innovation 
" John F. Cavallaro, PhD ", Recommendations that anticipate the next dominant strain in the next six months , Predictive/Analytical 
" John F. Cavallaro, PhD "," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Access/Equity 
